date,title,doi,authors,journal,short_journal,volume,year,publisher,issue,page,abstract
2020-09-01,Advancing Sustainability Reporting in Canada: 2019 Report on Progress,10.1111/1911-3838.12232,"Charles H. Cho, Kathrin Bohr, Tony Jaehyun Choi, Katharine Partridge, Jhankrut Mukesh Shah, Ada Swierszcz",Accounting Perspectives,Accounting Perspectives,19,2020,Wiley,3,181-204,"This study examines the progress Canada's largest companies are making in their environmental, social, and governance (ESG) disclosures. Given the introduction of the Global Reporting Initiative (GRI) Standards and the United Nations Sustainable Development Goals (UN SDGs) as well as the issuance of the Task Force on Climate‐Related Financial Disclosures (TCFD) recommendations, our research reflects the uptake of these guidance documents by both mature and new reporters. Our analysis suggests that challenges persist—processes and progress often fail to reach investors as they are “lost in translation” when issued through third‐party ESG information providers, and reporters are also pressured to respond to a myriad of requests for information from rating and reporting agencies. Nevertheless, we note that Canada has new reporting sectors that must mature to survive the scrutiny of the markets and also hope that stock markets will respond to the recent announcement by the 181 CEOs of the U.S. Business Roundtable, who committed to lead their companies for the benefit of all stakeholders—customers, employees, suppliers, communities, and shareholders. Overall, we believe that our research will provide food for thought for companies interested in continuous improvement."
2022-10-01,"Evolving <scp>ESG</scp> Reporting Governance, Regime Theory, and Proactive Law: Predictions and Strategies",10.1111/ablj.12210,"Adam J. Sulkowski, Ruth Jebe",American Business Law Journal,American Business Law J,59,2022,Wiley,3,449-503,"Transparency on ESG (environmental, social, and governance) is an important, if imperfect, step in striving for sustainability. Because a constellation of nonprofit organizations created voluntary reporting frameworks with little government involvement, ESG reporting governance is institutionally dense and fragmented. Reporting companies and information users have both expressed dissatisfaction. In 2020, standard-setting organizations indicated their intent to cooperate to simplify ESG reporting rules. In a different yet similar context, scholars utilize regime theory to understand institutional density and the potential for international cooperation, primarily among states. This article is the first to apply regime theory to ESG reporting governance architecture to better understand this unusual arena of rulemaking. It identifies key obstacles to global consolidation of ESG reporting governance and predicts that differences between the reporting philosophies in the European Union and the United States are among the factors that will prevent global consolidation of ESG reporting governance. This article concludes with advice for practitioners. It draws on law and strategy and proactive law literature to propose approaches for reporting companies navigating the complex landscape of ESG reporting governance."
2022-11-12,ESG REPORTING PRACTICES AMONG ISLAMIC BANKS: A GLOBAL PERSPECTIVE,10.31436/iiumlj.v30is2.755,"Nik Anis Idayu Nik Abdullah, Razali Haron",Iium Law Journal,IIUMLJ,30,2022,IIUM Press,S2,01-36,"Environmental, Social, and Governance (ESG) or sustainability reporting have considerably increased in the last decades. The year 2020 marks a turning point in the United Nations' (UN) 2030 Agenda. The Sustainable Development Goals (SDGs) have created new expectations and gained support among corporate actors who rely on well-informed, timely, and strategically positioned markets. In recent years, research in sustainability practices has expanded globally. However, the banking industry received less attention from the academics since banks are generally not considered the main contributor to sustainability problems. Contrary to this, ESG and Islamic finance are under increasing academic attention, with the latter predicted to be more sensitive to sustainability due to its founding principles. Currently, the global Islamic asset under management (AUM) has increased by 2.3 times in the last decade to reach US$140 billion by the end of 2020. Using the library-based research methodology, this research aims to provide a comprehensive overview of ESG reporting in Islamic banks from a global perspective. Based on this analysis, it is argued that Islamic banks lack sufficient investment in ESG-friendly initiatives. A brief discussion on the classification of ESG components and analysis of key frameworks and guidelines are provided to understand the regulatory framework that governs ESG practices. The article concludes with a recommendation for the necessary actions that can be adopted to enhance ESG practices in Islamic banks to ensure that they remain relevant and competitive with conventional banks."
2022-06-21,Sustainability Policies and Practices for Corporate Governance in Brazil,10.1787/a9889ba3-en,,,,,2022,OECD Publishing,,,"This report presents an overview of the main trends and issues related to sustainability policies and practices for corporate governance, both in Brazil and globally. It serves to support the development of Brazil's regulatory framework for sustainability disclosure, the responsibilities of company boards and shareholder rights. The report presents the results of two OECD surveys conducted with 63 Brazilian companies comprising around half of the country's stock market capitalisation and 363 asset managers investing more than USD 1 trillion in the country.Brazil's capital market landscape. Brazil's public equity market had 190 new listings and 542 delistings from 2000 to 2020. Net listings were only positive in 2007 and in 2020. Total market capitalisation represented 68% of GDP at the end of 2020, which was lower than in the United States (194%), the United Kingdom (149%) and India (98%), but higher than in Mexico (37%).Private corporations were the most important category of equity owners in Brazil with 29% of market at the end of 2020. They were followed by institutional investors (27%), the public sector (10%) and strategic individuals (8%). Foreign investors managed 65% of the equity owned by institutional investors. The average combined holdings of the top three shareholders in Brazil represents 57% of a company's equity, which is similar to the ownership concentration in France, India and Mexico, but considerably higher than in the United Kingdom (36%) and in the United States (33%).Brazilian companies raised a total of USD 864 billion in bonds from 2000 to 2021, with 60% of this amount issued by non-financial companies. There were 35 issuers of green bonds in Brazil in the same period, among which 23 are either listed or subsidiaries of listed companies. Green bond issuance, however, totalled only USD 8.2 billion, close to the amounts issued in India and Mexico but considerably smaller than in other markets (e.g. USD 64.4 billion in the United Kingdom).Corporate disclosure. A majority of asset managers investing in Brazil review the sustainability disclosure of the companies in their portfolios. For large asset managers, 59% report that they review the sustainability disclosure from all investee companies and 29% that they do so only for certain industries. Every year, Brazilian public companies must either disclose a sustainability report or explain why they do not disclose one. The companies that disclose a sustainability report may choose to use any existing sustainability accounting standard.
Small 199Medium 104Large 60"
2022-07-26,Natural Language Processing Methods for Scoring Sustainability Reports—A Study of Nordic Listed Companies,10.3390/su14159165,"Marcelo Gutierrez-Bustamante, Leonardo Espinosa-Leal",Sustainability,Sustainability,14,2022,MDPI AG,15,9165,"This paper aims to evaluate the degree of affinity that Nordic companies’ reports published under the Global Reporting Initiatives (GRI) framework have. Several natural language processing and text-mining techniques were implemented and tested to achieve this goal. We extracted strings, corpus, and hybrid semantic similarities from the reports and evaluated the models through the intrinsic assessment methodology. A quantitative ranking score based on index matching was developed to complement the semantic valuation. The final results show that Latent Semantic Analysis (LSA) and Global Vectors for word representation (GloVE) are the best methods for our study. Our findings will open the door to the automatic evaluation of sustainability reports which could have a substantial impact on the environment."
2024-03-24,ESG Accountability Made Easy: DocQA at Your Service,10.1609/aaai.v38i21.30574,"Lokesh Mishra, Cèsar Berrospi, Kasper Dinkla, Diego Antognini, Francesco Fusco, Benedikt Bothur, Maksym Lysak, Nikolaos Livathinos, Ahmed Nassar, Panagiotis Vagenas, Lucas Morin, Christoph Auer, Michele Dolfi, Peter Staar",Proceedings of the Aaai Conference on Artificial Intelligence,AAAI,38,2024,Association for the Advancement of Artificial Intelligence (AAAI),21,23814-23816,"We present Deep Search DocQA. This application enables information extraction from documents via a question-answering conversational assistant. The system integrates several technologies from different AI disciplines consisting of document conversion to machine-readable format (via computer vision), finding relevant data (via natural language processing), and formulating an eloquent response (via large language models). Users can explore over 10,000 Environmental, Social, and Governance (ESG) disclosure reports from over 2000 corporations. The Deep Search platform can be accessed at: https://ds4sd.github.io."
2025-01-01,"Orion: A Unified Visual Agent for Multimodal Perception, Advanced Visual Reasoning and Execution",10.48550/arxiv.2511.14210,N Dinesh Reddy,,,,2025,arXiv,,,"We introduce Orion, a unified visual agent that integrates vision-based reasoning with tool-augmented execution to achieve powerful, precise, multi-step visual intelligence across images, video, and documents. Unlike traditional vision-language models that generate descriptive outputs, Orion orchestrates over a suite of specialized computer vision tools-including precise object detection, keypoint localization, panoptic segmentation, Optical Character Recognition (OCR), and geometric analysis-to execute complex multi-step visual workflows. The system achieves competitive performance across MMMU, MMBench, DocVQA, and MMLongBench while extending monolithic VLM capabilities to production-grade visual intelligence. Through its agentic tool-augmented approach, Orion enables autonomous visual reasoning that bridges neural perception with symbolic execution, marking the transition from passive visual understanding to active, tool-driven visual intelligence."
2011-09-01,Document Analysis Algorithm Contributions in End-to-End Applications: Report on the ICDAR 2011 Contest,10.1109/icdar.2011.302,"Bart Lamiroy, Daniel Lopresti, Tao Sun",,,,2011,IEEE,,,"This contest aims to provide a metric giving indications on the influence of individual document analysis stages to overall end-to-end applications. Contestants are provided with a full, working pipeline which operates on a page image to extract useful information. The pipeline is built with clearly identified analysis stages (e.g. binarization, skew detection, layout analysis, OCR ...) that have a formalized input and output. Contestants are invited to contribute their own algorithms as an alternative to one or more of the initially provided stages. The evaluation measures the overall impact of the contributed algorithm on the final (end-of-pipeline) output."
2022-04-06,Deep learning-based NLP data pipeline for EHR-scanned document information extraction,10.1093/jamiaopen/ooac045,"Enshuo Hsu, Ioannis Malagaris, Yong‐Fang Kuo, Rizwana Sultana, Kirk Roberts",Jamia Open,,5,2022,Oxford University Press (OUP),2,,"Abstract
               
                  Objective
                  Scanned documents in electronic health records (EHR) have been a challenge for decades, and are expected to stay in the foreseeable future. Current approaches for processing include image preprocessing, optical character recognition (OCR), and natural language processing (NLP). However, there is limited work evaluating the interaction of image preprocessing methods, NLP models, and document layout.
               
               
                  Materials and Methods
                  We evaluated 2 key indicators for sleep apnea, Apnea hypopnea index (AHI) and oxygen saturation (SaO2), from 955 scanned sleep study reports. Image preprocessing methods include gray-scaling, dilating, eroding, and contrast. OCR was implemented with Tesseract. Seven traditional machine learning models and 3 deep learning models were evaluated. We also evaluated combinations of image preprocessing methods, and 2 deep learning architectures (with and without structured input providing document layout information), with the goal of optimizing end-to-end performance.
               
               
                  Results
                  Our proposed method using ClinicalBERT reached an AUROC of 0.9743 and document accuracy of 94.76% for AHI, and an AUROC of 0.9523 and document accuracy of 91.61% for SaO2.
               
               
                  Discussion
                  There are multiple, inter-related steps to extract meaningful information from scanned reports. While it would be infeasible to experiment with all possible option combinations, we experimented with several of the most critical steps for information extraction, including image processing and NLP. Given that scanned documents will likely be part of healthcare for years to come, it is critical to develop NLP systems to extract key information from this data.
               
               
                  Conclusion
                  We demonstrated the proper use of image preprocessing and document layout could be beneficial to scanned document processing."
2025-07-18,SPARTAN – Automated Table Detection and Extraction from Documents using Advanced OpenCV Heuristics and OCR Techniques,10.21203/rs.3.rs-6644838/v1,"Shlok Nandurbarkar, Archana Chaudhari, Rahesha Mulla",,,,2025,Springer Science and Business Media LLC,,,"Abstract
        The rapid growth of born-digital PDF documents has amplified the demand for fast, precise tabular data extraction on an industrial scale. State-of-the-art deep-learning approaches have high accuracy, but at the resource expense of substantial computational complexity, data-hungry training process and black-box incomprehensibility, confining deployment in the real world. In this paper, we introduce SPARTAN (Structured Parsing and Relevant Table Analysis), an entirely open-source, heuristic-based pipeline, with high-fidelity table detection and extraction and no model training or GPU requirements. SPARTAN mixes lightweight OpenCV image-processing modules: column whitespace analysis, boundary and text-based region segmentation and line segment cell parsing, with a modular OCR layer and optional post-processing hooks for LLM-driven schema mapping. We evaluated SPARTAN on more than 20K pages of PCN-480 (Product Change Notification and Product Discontinuance Notification), scientific papers, certificates and datasheets and reported 0.94 precision, 0.91 recall and 0.93 F1-score, with 96.7% OCR character accuracy, processing a page in 4.2 seconds on an average, and requiring 1.2 GB peak RAM on the most demanding PDFs. Our model outperformed Tabula, Deepdoctection, TabbyPDF and EMb-TTBF in accuracy and speed. Its rule transparency effortlessly copes with bor-derless, nested and merged-cell layouts that easily outsmart classical heuristics, without incurring the resource cost of end-to-end neural pipelines. SPARTAN’s CLI-governed, swap-in-swap-out architecture encourages domain tuning, edge deployment and cloud-scalable REST service wrapping, making it a practical bridge between brittle rule systems and heavyweight AI for document-understanding pipelines. The work proves that well-crafted modernized heuristics, combined with high-quality OCR, can match or even outperform deep learning approaches while remaining within reach of small and medium enterprises, thus reopening a critical gate to cost-efficient, explainable PDF table extraction."
2022-11-01,"Context-Aware Querying, Geolocalization, and Rephotography of Historical Newspaper Images",10.3390/app122111063,"Dilawar Ali, Thibault Blyau, Nico Van de Weghe, Steven Verstockt",Applied Sciences,Applied Sciences,12,2022,MDPI AG,21,11063,"Newspapers contain a wealth of historical information in the form of articles and illustrations. Libraries and cultural heritage institutions have been digitizing their collections for decades to enable web-based access to and retrieval of information. A number of challenges arise when dealing with digitized collections, such as those of KBR, the Royal Library of Brussels (used in this study), which contain only page-level metadata, making it difficult to extract information from specific contexts. A context-aware search relies heavily on metadata enhancement. Therefore, when using metadata at the page level, it is even more challenging to geolocalize less-known landmarks. To overcome this challenge, we have developed a pipeline for geolocalization and visualization of historical photographs. The first step of this pipeline consists of converting page-level metadata to article-level metadata. In the next step, all articles with building images were classified based on image classification algorithms. Moreover, to correctly geolocalize historical photographs, we propose a hybrid approach that uses both textual metadata and image features. We conclude this research paper by addressing the challenge of visualizing historical content in a way that adds value to humanities research. It is noteworthy that a number of historical urban scenes are visualized using rephotography, which is notoriously challenging to get right. This study serves as an important step towards enriching historical metadata and facilitating cross-collection linkages, geolocalization, and the visualization of historical newspaper images. Furthermore, the proposed methodology is generic and can be used to process untagged photographs from social media, including Flickr and Instagram."
2023-07-31,Digitizing and parsing semi-structured historical administrative documents from the G.I. Bill mortgage guarantee program,10.1108/jd-03-2023-0055,"Sara Lafia, David Bleckley, J. Trent Alexander",Journal of Documentation,JD,79,2023,Emerald,7,225-239,"PurposeMany libraries and archives maintain collections of research documents, such as administrative records, with paper-based formats that limit the documents' access to in-person use. Digitization transforms paper-based collections into more accessible and analyzable formats. As collections are digitized, there is an opportunity to incorporate deep learning techniques, such as Document Image Analysis (DIA), into workflows to increase the usability of information extracted from archival documents. This paper describes the authors' approach using digital scanning, optical character recognition (OCR) and deep learning to create a digital archive of administrative records related to the mortgage guarantee program of the Servicemen's Readjustment Act of 1944, also known as the G.I. Bill.Design/methodology/approachThe authors used a collection of 25,744 semi-structured paper-based records from the administration of G.I. Bill Mortgages from 1946 to 1954 to develop a digitization and processing workflow. These records include the name and city of the mortgagor, the amount of the mortgage, the location of the Reconstruction Finance Corporation agent, one or more identification numbers and the name and location of the bank handling the loan. The authors extracted structured information from these scanned historical records in order to create a tabular data file and link them to other authoritative individual-level data sources.FindingsThe authors compared the flexible character accuracy of five OCR methods. The authors then compared the character error rate (CER) of three text extraction approaches (regular expressions, DIA and named entity recognition (NER)). The authors were able to obtain the highest quality structured text output using DIA with the Layout Parser toolkit by post-processing with regular expressions. Through this project, the authors demonstrate how DIA can improve the digitization of administrative records to automatically produce a structured data resource for researchers and the public.Originality/valueThe authors' workflow is readily transferable to other archival digitization projects. Through the use of digital scanning, OCR and DIA processes, the authors created the first digital microdata file of administrative records related to the G.I. Bill mortgage guarantee program available to researchers and the general public. These records offer research insights into the lives of veterans who benefited from loans, the impacts on the communities built by the loans and the institutions that implemented them."
2017-11-10,Creating a Complete Workflow for Digitising Historical Census Documents,10.1145/3151509.3151525,"Christian Clausner, Justin Hayes, Apostolos Antonacopoulos, Stefan Pletschacher",,,,2017,ACM,,83-88,Ti t l e C r e a ti n g a c o m pl e t e w o r kflow fo r di gi tisi n g hi s t o ric al c e n s u s d o c u m e n t s : c o n si d e r a tio n s a n d e v al u a tio n
2018-04-09,Text extraction and retrieval from smartphone screenshots,10.1145/3167132.3167236,"Agnese Chiatti, Mu-Jung Cho, Anupriya Gagneja, Xiao Yang, Miriam Brinberg, Katie Roehrick, Sagnik Ray Choudhury, Nilàm Ram, Byron Reeves, C. Lee Giles",,,,2018,ACM,,948-955,"Daily engagement in life experiences is increasingly interwoven with mobile device use. Screen capture at the scale of seconds is being used in behavioral studies and to implement ""just-in-time"" health interventions. The increasing psychological breadth of digital information will continue to make the actual screens that people view a preferred if not required source of data about life experiences. Effective and efficient Information Extraction and Retrieval from digital screenshots is a crucial prerequisite to successful use of screen data. In this paper, we present the experimental workflow we exploited to: (i) pre-process a unique collection of screen captures, (ii) extract unstructured text embedded in the images, (iii) organize image text and metadata based on a structured schema, (iv) index the resulting document collection, and (v) allow for Image Retrieval through a dedicated vertical search engine application. The adopted procedure integrates different open source libraries for traditional image processing, Optical Character Recognition (OCR), and Image Retrieval. Our aim is to assess whether and how state-of-the-art methodologies can be applied to this novel data set. We show how combining OpenCV-based pre-processing modules with a Long short-term memory (LSTM) based release of Tesseract OCR, without ad hoc training, led to a 74% character-level accuracy of the extracted text. Further, we used the processed repository as baseline for a dedicated Image Retrieval system, for the immediate use and application for behavioral and prevention scientists. We discuss issues of Text Information Extraction and Retrieval that are particular to the screenshot image case and suggest important future work."
2019-05-08,Curation Technologies for Cultural Heritage Archives,10.1145/3322905.3322909,"Georg Rehm, Martin Lee, Julián Moreno Schneider, Peter Bourgonje",,,,2019,ACM,,117-122,"We present a platform that enables the semantic analysis, enrichment, visualisation and presentation of a document collection in a way that enables human users to intuitively interact and explore the collection, in short, a curation platform or workbench. The data set used is the result of a research project, carried out by scholars from South Korea, in which official German government documents on the German re-unification were collected, intellectually curated, analysed, interpreted and published in multiple volumes. The documents we worked with are mostly in German, a small subset, mostly summaries, is in Korean. This paper describes the original research project that generated the data set and focuses upon a description of the platform and Natural Language Processing (NLP) pipeline adapted and extended for this project (e. g., OCR was added). Our key objective is to develop an interactive curation workbench that enables users to interact with the data set in several different ways that go beyond the current version of the published document collection as a set of PDF documents that are available online. The paper concludes with suggestions regarding the improvement of the platform and future work. CCS CONCEPTS • Information systems → Entity resolution; Data mining; Digital libraries and archives; Document representation; Retrieval tasks and goals; • Applied computing → Digital libraries and archives; Document management."
2025-09-01,Image restoration and key field alignment for misaligned overlapping text in secondary printing document images,10.3389/frai.2025.1616007,"Senlong Wang, Junchao Ge, Jiantao Zhang, Hong He, Yunwei Zhang",Frontiers in Artificial Intelligence,Front. Artif. Intell.,8,2025,Frontiers Media SA,,,"With the advancement of information technology, the demand for efficient recognition and information extraction from paper documents in industrial scenarios has grown rapidly. In practice, business information is often secondarily printed onto pre-designed templates, which frequently leads to text misalignment or overlap with backgrounds and tables, thereby significantly impairing the accuracy of subsequent Optical Character Recognition (OCR). To address this issue, this paper proposes a preprocessing method for OCR recognition of secondary printed documents, specifically targeting the problems of text misalignment and overlap. In particular, we design a Text Overlap Restoration Network (TORNet) to restore document images affected by text overlap. Experimental results demonstrate that, compared to the latest image restoration models, TORNet achieves PSNR improvements of 0.17 dB and 0.12 dB in foreground and background text restoration, respectively. Furthermore, to resolve residual misalignment issues after image restoration, a key-field alignment method is introduced. This method accurately locates the positional deviations of critical fields in the reconstructed image, enabling precise field-level alignment and structural correction. Based on the proposed preprocessing framework, the recognition accuracy and field-matching accuracy are improved by 23% and 31%, respectively, compared to existing commercial OCR models, significantly enhancing the recognition performance on misaligned and overlapping documents. This study provides an effective solution for recognizing secondary printed documents with text overlap in industrial environments."
2020-08-14,Landscape Analysis for the Specimen Data Refinery,10.3897/rio.6.e57602,"Stephanie Walton, Laurence Livermore, Olaf Bánki, Robert Cubey, Robyn Drinkwater, Markus Englund, Carole Goble, Quentin Groom, Christopher Kermorvant, Isabel Rey, C. Santos, Ben Scott, Alan Williams, Zhengzhe Wu",Research Ideas and Outcomes,RIO,6,2020,Pensoft Publishers,,,"This report reviews the current state-of-the-art applied approaches on automated tools, services and workflows for extracting information from images of natural history specimens and their labels. We consider the potential for repurposing existing tools, including workflow management systems; and areas where more development is required. This paper was written as part of the SYNTHESYS+ project for software development teams and informatics teams working on new software-based approaches to improve mass digitisation of natural history specimens."
2023-11-15,Fine-tuning ClimateBert transformer with ClimaText for the disclosure analysis of climate-related financial risks,10.21203/rs.3.rs-3600821/v1,"Eduardo C. Garrido-Merchán, Cristina González-Barthe, María Coronado Vaca",,,,2023,Springer Science and Business Media LLC,,,"Abstract
        In recent years there has been a growing demand from financial agents, especially from particular and institutional investors, for companies to report on climate-related financial risks. A vast amount of information, in text format, can be expected to be disclosed in the short term by firms in order to identify these types of risks in their financial and non-financial reports, particularly in response to the growing regulation that is being passed on the matter. To this end, this paper applies state-of-the-art NLP techniques to achieve the detection of climate change in text corpora. We use transfer learning to fine-tune two transformer models, BERT and ClimateBert -a recently published DistillRoBERTa-based model that has been specifically tailored for climate text classification-. These two algorithms are based on the transformer architecture which enables learning the contextual relationships between words in a text. We carry out the fine-tuning process of both models on the novel “ClimaText” database, consisting of data collected from Wikipedia, 10K Files Reports, and web-based claims. Our text classification model obtained from the ClimateBert fine-tuning process on ClimaText, outperforms the models created with BERT and the current state-of-the-art transformer in this particular problem. Our study is the first one to implement the recently published ClimateBert algorithm on the ClimaText database. Based on our results, it can be said that ClimateBert fine-tuned on ClimaText is an outstanding tool within the NLP pre-trained transformer models that may and should be used by investors, institutional agents, and companies themselves to monitor the disclosure of climate risk in financial reports, as well as in other textual sources, such as policies, new legislation or directives passed on this matter. In addition, our transfer learning methodology is cheap in computational terms, thus allowing any organization to perform it."
2021-01-01,Cheap Talk and Cherry-Picking: What ClimateBert has to say on Corporate Climate Risk Disclosures,10.2139/ssrn.3796152,"Julia Bingler, Mathias Kraus, Markus Leippold",SSRN Electronic Journal,SSRN Journal,,2021,Elsevier BV,,,
2025-09-09,Following the blind? Database coding policies and the case of <scp>IFRS</scp> noncompliance,10.1111/1911-3846.13069,"Sara Alsarghali, Holger Daske, Hala Jada, Makiko Labonte",Contemporary Accounting Research,Contemporary Accting Res,,2025,Wiley,,,"AbstractWe present a case illustrating the pitfalls of insufficient disclosure of commercial databases' coding policies. We replicate the finding in the literature that a nontrivial percentage of firms mandated to adopt IFRS ignore this obligation. Specifically, Pownall and Wieczynska (2018, Contemporary Accounting Research, 35(2), 1029–1066) report more than 3,000 cases, or 10% of all mandated firms in the European Union. When using primary data sources (applicable local regulations and firms' annual reports), we find that noncompliance with IFRS adoption is nonexistent in the one‐to‐one replication using the same firm‐year observations. We attribute the prior misperception to the commercial database's insufficient disclosure of a misleading coding policy of the consolidation item. We also show that no other data provider correctly captures consolidation status, which determines whether firms must report under IFRS. In response to this gap, we showcase the application of bidirectional encoder representations from transformers (BERT) models for extracting the consolidation status and offer guidance for coding IFRS‐mandated firms. Our article underscores the need to exercise caution when using secondary data sources."
2023-01-06,<scp>FinBERT</scp>: A Large Language Model for Extracting Information from Financial Text*,10.1111/1911-3846.12832,"Allen Huang, Hui Wang, Yi Yang",Contemporary Accounting Research,Contemporary Accting Res,40,2023,Wiley,2,806-841,"We develop FinBERT, a state‐of‐the‐art large language model that adapts to the finance domain. We show that FinBERT incorporates finance knowledge and can better summarize contextual information in financial texts. Using a sample of researcher‐labeled sentences from analyst reports, we document that FinBERT substantially outperforms the Loughran and McDonald dictionary and other machine learning algorithms, including naïve Bayes, support vector machine, random forest, convolutional neural network, and long short‐term memory, in sentiment classification. Our results show that FinBERT excels in identifying the positive or negative sentiment of sentences that other algorithms mislabel as neutral, likely because it uses contextual information in financial text. We find that FinBERT's advantage over other algorithms, and Google's original bidirectional encoder representations from transformers model, is especially salient when the training sample size is small and in texts containing financial words not frequently used in general texts. FinBERT also outperforms other models in identifying discussions related to environment, social, and governance issues. Last, we show that other approaches underestimate the textual informativeness of earnings conference calls by at least 18% compared to FinBERT. Our results have implications for academic researchers, investment professionals, and financial market regulators."
2024-12-08,ESG Tendencies From News Investigated by AI Trained by Human Intelligence,10.1002/bse.4089,"Chao Li, Alexander Ryota Keeley, Shutaro Takeda, Daikichi Seki, Shunsuke Managi",Business Strategy and the Environment,Bus Strat Env,34,2024,Wiley,2,1880-1895,"ABSTRACTWe create a large language model with high accuracy to investigate the relatedness between 12 environmental, social, and governance (ESG) topics and more than 2 million news reports. The text match pre‐trained transformer (TMPT) with 138,843,049 parameters is built to probe whether and how much a news record is connected to a specific topic of interest. The TMPT, based on the transformer structure and a pre‐trained model, is an artificial intelligence model trained by more than 200,000 academic papers. The cross‐validation result reveals that the TMPT's accuracy is 85.73%, which is excellent in zero‐shot learning tasks. In addition, combined with sentiment analysis, our research monitors news attitudes and tones toward specific ESG topics daily from September 2021 to September 2023. The results indicate that the media is increasing discussion on social topics, while the news regarding environmental issues is reduced. Moreover, toward almost all topics, the attitudes are gradually becoming positive. Our research highlights the temporal shifts in public perception regarding 12 key ESG issues:ESG has been incrementally accepted by the public. These insights are invaluable for policymakers, corporate leaders, and communities as they navigate sustainable decision‐making."
2023-11-02,Evaluating TCFD reporting—A new application of zero-shot analysis to climate-related financial disclosures,10.1371/journal.pone.0288052,"Alix Auzepy, Elena Tönjes, David E. Lenz, Christoph Funk",Plos One,PLoS ONE,18,2023,Public Library of Science (PLoS),11,e0288052,"We examine climate-related disclosures in a large sample of reports published by banks that officially endorsed the recommendations of the Task Force for Climate-related Financial Disclosures (TCFD). In doing so, we introduce a new application of the zero-shot text classification. By developing a set of fine-grained TCFD labels, we show that zero-shot analysis is a useful tool for classifying climate-related disclosures without further model training. Overall, our findings indicate that corporate climate-related disclosures increased after the launch of the TCFD recommendations and following individual endorsements. However, there are marked differences in the extent of reporting by recommended disclosure topic, suggesting that some recommendations have not yet been fully met. Our findings yield important conclusions for the design of climate-related disclosure frameworks."
2023-01-01,Comparing the performance of ChatGPT and state-of-the-art climate NLP models on climate-related text classification tasks,10.1051/e3sconf/202343602004,"Dimitar Trajanov, Gorgi Lazarev, Ljubomir Chitkushev, Irena Vodenska",E3s Web of Conferences,E3S Web Conf.,436,2023,EDP Sciences,,02004,"Recently, there has been a surge in general-purpose language models, with ChatGPT being the most advanced model to date. These models are primarily used for generating text in response to user prompts on various topics. It needs to be validated how accurate and relevant the generated text from ChatGPT is on the specific topics, as it is designed for general conversation and not for context-specific purposes. This study explores how ChatGPT, as a general-purpose model, performs in the context of a real-world challenge such as climate change compared to ClimateBert, a state-of-the-art language model specifically trained on climate-related data from various sources, including texts, news, and papers. ClimateBert is fine-tuned on five different NLP classification tasks, making it a valuable benchmark for comparison with the ChatGPT on various NLP tasks. The main results show that for climate-specific NLP tasks, ClimateBert outperforms ChatGPT."
2025-01-01,"Discourse vs emissions: Analysis of corporate narratives, symbolic practices, and mimicry through LLMs",10.48550/arxiv.2510.01222,"Bertrand K. Hassani, Yacoub Bahini, Rizwan Mushtaq",,,,2025,arXiv,,,"Climate change has increased demands for transparent and comparable corporate climate disclosures, yet imitation and symbolic reporting often undermine their value. This paper develops a multidimensional framework to assess disclosure maturity among 828 U.S.-listed firms using large language models (LLMs) fine-tuned for climate communication. Four classifiers-sentiment, commitment, specificity, and target ambition-extract narrative indicators from sustainability and annual reports, which are linked to firm attributes such as emissions, market capitalization, and sector. Analyses reveal three insights:(1) risk-focused narratives often align with explicit commitments, but quantitative targets (e.g., net-zero pledges) remain decoupled from tone; (2) larger and higher-emitting firms disclose more commitments and actions than peers, though inconsistently with quantitative targets; and (3) widespread similarity in disclosure styles suggests mimetic behavior, reducing differentiation and decision-usefulness. These results highlight the value of LLMs for ESG narrative analysis and the need for stronger regulation to connect commitments with verifiable transition strategies."
2025-06-25,Responding to Climate Change Crises: Firms' Trade‐Offs,10.1111/1475-679x.12625,"Felix Fritsch, QI ZHANG, Zheng Xiang",Journal of Accounting Research,J of Accounting Research,63,2025,Wiley,5,2137-2179,"ABSTRACTWe examine firms' trade‐offs in their voluntary disclosure decisions following negative media coverage of climate change incidents. By combining a keyword discovery algorithm and a fine‐tuned BERT model, we identify “hard” and “soft” climate disclosures on Twitter. Our findings indicate that firms tend to issue climate tweets as a rapid response to negative climate incidents. Additionally, firms with a history of hard climate change disclosure, as measured by ESG reports, are more likely to issue climate‐related responses than firms without such a history. Furthermore, we show that prior hard disclosure is associated with hard responses when the incident receives moderate media attention, but with soft responses when the incident receives low media attention. Our findings provide empirical insights for dynamic disclosure theory by illustrating how prior disclosure shapes firms' response strategies to negative media coverage."
