,sentence_norm,canonical_aspect,majority_category,majority_sentiment,majority_tone,runs_count
310,Average training duration per employee increased from 10.9 hours (2020) to 12.3 hours (2021).,employee development,s,positive,outcome,1
311,"Average training duration per employee increased, with 52,446 participants in MAP Retail Academy trainings in 2021.",employee training participation,none,positive,outcome,1
312,Average training hours per employee of 18 hours/employee.,employee training,e,neutral,outcome,1
313,Average training hours per employee reached 18.3 hours in 2023.,employee training,e,positive,outcome,1
314,Award on Best Category for toll road length 15-50 kilometers for Pandaan-Malang toll road section of PT Jasamarga Pandanaan Malang – 1st place,sustainable toll road recognition,e,positive,outcome,1
315,Award on Best Category for toll road length <15 kilometers – Gempol-Pandanaan toll road section of PT Jasamarga Pandaan Toll – 3rd place,sustainable toll road recognition,g,positive,outcome,1
316,Award on Best Category for toll road with length >50 kilometers for Jagorawi Toll Road - 1st place,sustainable toll road recognition,e,positive,outcome,1
317,Award on Best Category for toll road with length >50 kilometers for Ngawi-Kertosono toll road section of PT Jasamarga Ngawi Kertosono Kediri – 2nd place,sustainable toll road recognition,none,positive,outcome,1
318,Awards,awards,e,neutral,none,1
319,Awards 2013 - The Top 50 Companies for 2013 from Forbes.,awards,g,positive,outcome,1
320,Awards 2013 – The Top 50 Companies for 2013 from Forbes,corporate reputation,g,positive,outcome,1
321,"Awareness on sustainability grew continuously, thus the retail industry must also start to manage its environmental, social, and governance (ESG) aspects to improve sustainability performance.",esg aspects,e-s,positive,commitment,1
322,"Axioo International Indonesia will be used to assemble Venera, mobile phone brands owned by Erajaya.",manufacturing,none,neutral,action,1
323,"Ayah saya membangun perusahaan ini lebih dari 45 tahun yang lalu dengan keyakinan bahwa kami hanya dapat berkembang jika kami tumbuh bersama dengan seluruh pemangku kepentingan, yaitu karyawan, mitra bisnis, pemegang saham, petani dan peternak, serta pemasok.",stakeholder collaboration,none,positive,commitment,1
324,BANK SAMPAH DI KOTA BESAR,urban waste management,s,neutral,action,1
325,BEI juga membutuhkan sinergi dengan PT Kliring Penjaminan Efek Indonesia (KPEI) dan PT Kustodian Sentral Efek Indonesia (KSEI) untuk mendukung terlaksananya penerapan keuangan berkelanjutan.,sustainable finance implementation,s,positive,action,1
326,BEI telah melaksanakan inisiatif untuk mewujudkan serangkaian inisiatif keuangan berkelanjutan dan hal ini dikuatkan dengan bergabungnya BEI menjadi bagian dari inisiatif United Nations Sustainable Stock Exchange.,sustainable finance initiatives,s,positive,outcome,1
327,BEI telah menetapkan serangkaian inisiatif untuk mewujudkan keuangan berkelanjutan yang setiap tahunnya dituangkan dalam sebuah Rencana Aksi Keuangan Berkelanjutan (RAKB).,sustainable finance action plan,e-s-g,positive,action,2
328,BIAYA LINGKUNGAN TAHUN 2021 Environmental Costs in 2021,environmental costs,none,neutral,outcome,1
329,"BIAYA LINGKUNGAN USS ENVIRONMENTAL COST 20,677",environmental cost,,neutral,outcome,3
330,"BIAYA LINGKUNGAN USS ENVIRONMENTAL COST 20,677",environmental costs,none,neutral,outcome,1
331,"BIAYA LINGKUNGAN USS ENVIRONMENTAL COST 20,677",environmental expenditure,e-s,neutral,outcome,1
332,"BIAYA LINGKUNGAN USS ENVIRONMENTAL COST 20,677 KONSUMSI ENERGI 12,236 ENERGY CONSUMPTION 01GAJGULE PENGGUNAAN AIR 3,3 WATER USAGE 3,3 JUTA LITER MILLION LITER",environmental management,e,neutral,outcome,1
333,"BIAYA LINGKUNGAN USS ENVIRONMENTAL COST 20,677 | KONSUMSI ENERGI 12,236 GJ | PENGGUNAAN AIR 3,3 JUTA LITER",environmental management,none,neutral,outcome,1
334,BNI also has the five pillars of sustainability to manifest the commitment in implementing sustainability practices.,sustainability strategy,s,positive,commitment,2
335,"BNI always seeks ways to create a safe, comfortable, inclusive, and fair workplace for all employees.",workplace environment,none,positive,commitment,1
336,"BNI believes that engaging stakeholders, both national and global, can create shared values in the long term.",community engagement,e-s-g,positive,action,3
337,"BNI considers the sustainability concept as a significant aspect inherent in the operational banking business, in which the sustainability values are incorporated into company strategies by taking the environmental, social, and governance (ESG) as well as economic aspects into account.",esg integration,s,positive,action,1
338,BNI consistently engages and synergizes with all stakeholders to collectively respond to every challenge and create a sustainable future together.,community engagement,e-s-g,positive,action,3
339,"BNI firmly supports environmental preservation by implementing programs to conserve Javan rhinoceros (Rhinoceros sondaicus) and Orangutans (Pongo pymgaeus), and planting 88,023 trees.",biodiversity conservation,none,positive,outcome,1
340,"BNI guarantees equal rights with no discrimination for all employees who desire to develop their careers and competencies, including their insights on sustainable finance.",equal opportunity,none,positive,commitment,1
341,"BNI has implemented the strategy of integrating environmental, social, and governance (ESG) aspects to support stakeholders and the environment in achieving the commitment to sustainability.",esg integration,e-s-g,positive,outcome,3
342,"BNI has performed CRST to several sectors in the Corporate, Enterprise, and Commercial segment, among which are coal mining (including power plant), oil palm plantation, and pulp &amp; paper.",climate risk stress test,e,neutral,outcome,1
343,BNI has the five pillars of sustainability to manifest the commitment in implementing sustainability practices.,sustainability pillars,s,positive,commitment,1
344,BNI is committed to performing a dedicated role as a transformation agent in implementing ESG principles.,esg leadership,none,positive,commitment,1
345,"BNI is determined to continue making progress and new breakthroughs to allow it to compete and realize its vision to be the leading sustainable financial institution, both in service and performance.",sustainability vision,none,positive,commitment,1
346,BNI is resolute in its commitment to increasing the sustainability performance as it can create shared values for all stakeholders.,sustainability commitment,e,positive,commitment,2
347,"BNI obtained a Green Building certification for two BNI buildings, ""Gold"" Certification for Menara BNI and ""Platinum"" Certification for Plaza BNI.",green building,,positive,outcome,2
348,"BNI obtained a Green Building certification for two BNI buildings, ""Gold"" Certification for Menara BNI and ""Platinum"" Certification for Plaza BNI.",green buildings,s,positive,outcome,1
349,BNI strengthened the ESG aspects in the Risk Acceptance Criteria (RAC) in 18 debtors' sectors.,esg risk management,none,positive,outcome,1
350,BNI was able to maintain its MSCI Rating at Rating A.,esg rating,none,positive,outcome,2
351,BNI was recorded as having medium risk with a score of 21.4 according to Sustainalytics' ESG Risk Rating.,esg risk assessment,,neutral,outcome,1
352,BNI's commitment to reducing GHG was also substantiated by the roadmaps of 2028 NZE Operational and 2060 NZE Financing targets.,ghg emission reduction,e-s,positive,commitment,1
353,BRMS berkomitmen untuk berperan serta dalam gerakan global ini dengan cara berkontribusi demi mencapai realisasi tujuan pembangunan berkelanjutan tersebut,commitment to sustainable development,s,positive,commitment,1
354,BRMS berkomitmen untuk berperan serta dalam gerakan global ini dengan cara berkontribusi demi mencapai realisasi tujuan pembangunan berkelanjutan tersebut.,sustainable development commitment,g,positive,commitment,1
355,BRMS consistently partners up with other organizations and institutions that have the same goals.,partnership,,positive,action,1
356,BRMS consistently partners up with other organizations and institutions that have the same goals.,sustainability partnerships,e-s-g,positive,action,1
357,BRMS continuously strives to identify and align the company's work with the objectives of Sustainable Development Goals.,alignment with sustainable development goals,,positive,commitment,2
358,BRMS continuously strives to identify and align the company's work with the objectives of Sustainable Development Goals.,sdg alignment,e-s-g,positive,commitment,1
359,BRMS continuously strives to identify and align the company's work with the objectives of Sustainable Development Goals.,sdg alignment strategy,,positive,commitment,1
360,BRMS continuously strives to identify and align the company's work with the objectives of Sustainable Development Goals.,sdgs alignment,,positive,commitment,1
361,"BRMS dengan sepenuh hati mendukung pembangunan berkelanjutan, dengan berusaha menggapai masa depan pertambangan emas melalui praktik yang bertanggung jawab.",sustainable development,e-s-g,positive,commitment,1
362,"BRMS develops strategies, initiatives and KPIs that are in line with SDGs which will then be reported periodically.",sdg reporting,e,positive,action,1
363,"BRMS develops strategies, initiatives and KPIs that are in line with SDGs which will then be reported periodically.",sdg-aligned strategies and initiatives,e-s-g,positive,action,1
364,"BRMS develops strategies, initiatives and KPIs that are in line with SDGs which will then be reported periodically.",sdgs strategy and reporting,s,positive,action,1
365,"BRMS develops strategies, initiatives and KPIs that are in line with SDGs which will then be reported periodically.",sustainability strategy development,none,positive,action,1
366,BRMS is aware that no company is able to achieve these set of goals alone.,collaboration,none,neutral,commitment,2
367,BRMS is aware that no company is able to achieve these set of goals alone.,partnerships for sdgs,none,positive,commitment,1
368,"BRMS is aware that no company is able to achieve these set of goals alone. Therefore, BRMS consistently partners up with other organizations and institutions that have the same goals.",partnerships for sdgs,none,positive,commitment,1
369,"BRMS is aware that no company is able to achieve these set of goals alone. Therefore, BRMS consistently partners up with other organizations and institutions that have the same goals.",partnerships for sustainable development,e-s-g,positive,commitment,1
370,BRMS menetapkan Kebijakan Keberlanjutan 1.0 sebagai langkah penting dalam mengintegrasikan praktik berkelanjutan ke dalam operasi perusahaan.,sustainability policy,s,positive,outcome,1
371,"BRMS mengembangkan strategi, inisiatif, dan KPI yang sejalan dengan SDGs",sdgs strategy,e-s-g,positive,action,1
372,"BRMS mengembangkan strategi, inisiatif, dan KPI yang sejalan dengan SDGs yang kemudian akan dilaporkan secara periodik",sdgs strategy and reporting,e,positive,action,1
373,"BRMS mengembangkan strategi, inisiatif, dan KPI yang sejalan dengan SDGs yang kemudian akan dilaporkan secara periodik.",sdg-aligned strategies and initiatives,e-s-g,positive,action,1
374,"BRMS mengembangkan strategi, inisiatif, dan KPI yang sejalan dengan SDGs yang kemudian akan dilaporkan secara periodik.",sdgs strategy,none,positive,action,1
375,"BRMS mengembangkan strategi, inisiatif, dan KPI yang sejalan dengan SDGs yang kemudian akan dilaporkan secara periodik.",sdgs strategy and reporting,e-s-g,positive,action,2
376,"BRMS mengembangkan strategi, inisiatif, dan KPI yang sejalan dengan SDGs yang kemudian akan dilaporkan secara periodik.",sustainability strategy,,positive,action,1
377,"BRMS mengembangkan strategi, inisiatif, dan KPI yang sejalan dengan SDGs yang kemudian akan dilaporkan secara periodik.",sustainability strategy development,e,positive,action,1
378,"BRMS menyadari bahwa tidak ada satu perusahaan pun yang dapat mencapai tujuan ini sendirian dan oleh karena itu, BRMS senantiasa bermitra dengan organisasi dan intuisi lain yang memiliki tujuan yang sama.",partners up with other organizations and institutions that have the same goals,s,positive,action,1
379,"BRMS menyadari bahwa tidak ada satu perusahaan pun yang dapat mencapai tujuan ini sendirian dan oleh karena itu, BRMS senantiasa bermitra dengan organisasi dan intuisi lain yang memiliki tujuan yang sama.",partnerships for sdgs,e-s-g,positive,commitment,3
380,BRMS senantiasa bermitra dengan organisasi dan intuisi lain yang memiliki tujuan yang sama,partnership and collaboration,e-s,positive,action,1
381,BRMS senantiasa bermitra dengan organisasi dan intuisi lain yang memiliki tujuan yang sama.,partnership and collaboration,none,positive,action,1
382,BRMS senantiasa bermitra dengan organisasi dan intuisi lain yang memiliki tujuan yang sama.,partnerships and collaborations,e,positive,action,1
383,BRMS senantiasa bermitra dengan organisasi dan intuisi lain yang memiliki tujuan yang sama.,sustainability partnerships,none,positive,action,1
384,BRMS senantiasa berupaya untuk mengidentifikasi dan menyelaraskan program kerja perusahaan dengan tujuan Tujuan Pembangunan Berkelanjutan,sdg integration,g,positive,commitment,1
385,BRMS senantiasa berupaya untuk mengidentifikasi dan menyelaraskan program kerja perusahaan dengan tujuan Tujuan Pembangunan Berkelanjutan,sdgs alignment,e,positive,commitment,1
386,BRMS senantiasa berupaya untuk mengidentifikasi dan menyelaraskan program kerja perusahaan dengan tujuan Tujuan Pembangunan Berkelanjutan.,alignment of corporate strategy with sdgs,none,positive,commitment,1
387,BRMS senantiasa berupaya untuk mengidentifikasi dan menyelaraskan program kerja perusahaan dengan tujuan Tujuan Pembangunan Berkelanjutan.,alignment with sustainable development goals,e-s-g,positive,commitment,3
388,BRMS senantiasa berupaya untuk mengidentifikasi dan menyelaraskan program kerja perusahaan dengan tujuan Tujuan Pembangunan Berkelanjutan.,sdg alignment,s,positive,commitment,1
389,BRMS senantiasa berupaya untuk mengidentifikasi dan menyelaraskan program kerja perusahaan dengan tujuan Tujuan Pembangunan Berkelanjutan.,sdgs alignment,e-s,positive,commitment,2
390,BRMS set higher sustainability standards by integrating ESG in all our activities.,esg integration,s,positive,outcome,1
391,"BRMS set higher sustainability standards on economic, environmental, social and governance aspects by integrating ESG in all our activities.",esg integration,none,positive,outcome,1
392,"BRMS set higher sustainability standards on economic, environmental, social and governance aspects by integrating ESG in all our activities.",integration of esg in activities,,positive,outcome,1
393,"BRMS telah menetapkan standar keberlanjutan yang lebih tinggi dalam aspek ekonomi, lingkungan, sosial, dan tata kelola melalui integrasi Lingkungan, Sosial dan Tata Kelola (LST) dalam seluruh kegiatan",esg integration,s,positive,outcome,1
394,"BRMS telah menetapkan standar keberlanjutan yang lebih tinggi dalam aspek ekonomi, lingkungan, sosial, dan tata kelola melalui integrasi Lingkungan, Sosial dan Tata Kelola (LST) dalam seluruh kegiatan.",esg integration,none,positive,outcome,3
395,"BRMS telah menetapkan standar keberlanjutan yang lebih tinggi dalam aspek ekonomi, lingkungan, sosial, dan tata kelola melalui integrasi Lingkungan, Sosial dan Tata Kelola (LST) dalam seluruh kegiatan.",integration of esg in activities,none,positive,outcome,1
396,"BRMS telah menetapkan standar keberlanjutan yang lebih tinggi dalam aspek ekonomi, lingkungan, sosial, dan tata kelola melalui integrasi Lingkungan, Sosial dan Tata Kelola (LST) dalam seluruh kegiatan...",esg integration,e,positive,outcome,1
397,"BRMS wholeheartedly supports sustainable development, aiming to shape the future of gold mining through responsible practices.",pengembangan berkelanjutan,none,positive,commitment,1
398,"BRMS wholeheartedly supports sustainable development, aiming to shape the future of gold mining through responsible practices.",responsible mining practices,e-s-g,positive,commitment,1
399,"BRMS wholeheartedly supports sustainable development, aiming to shape the future of gold mining through responsible practices.",sustainable development,s,positive,commitment,2
400,"BRMS wholeheartedly supports sustainable development, aiming to shape the future of gold mining through responsible practices.",sustainable development support,g,positive,commitment,2
401,BUILDING A CULTURE OF SUSTAINABILITY WITHIN THE COMPANY.,internal sustainability culture,s,positive,commitment,1
402,"Badan Pusat Statistik (BPS) melaporkan berbagai indikator pertumbuhan ekonomi triwulan IV-2018 menunjukkan permintaan domestik tetap kuat ditopang oleh konsumsi, baik konsumsi swasta maupun konsumsi Pemerintah.",domestic demand,none,positive,outcome,5
403,"Badan Pusat Statistik (BPS) melaporkan berbagai indikator pertumbuhan ekonomi triwulan IV-2018 menunjukkan permintaan domestik tetap kuat ditopang oleh konsumsi, baik konsumsi swasta maupun konsumsi Pemerintah.",pertumbuhan ekonomi,e-s-g,positive,outcome,1
404,"Bagi tim yang harus tetap bekerja di kantor, studio, maupun fasilitas teknik, kami mengadopsi protokol kesehatan yang ketat.",adopsi protokol kesehatan ketat,none,positive,action,1
405,"Bagi tim yang harus tetap bekerja di kantor, studio, maupun fasilitas teknik, kami mengadopsi protokol kesehatan yang ketat.",health and safety protocols,g,positive,action,2
406,"Bagi tim yang harus tetap bekerja di kantor, studio, maupun fasilitas teknik, kami mengadopsi protokol kesehatan yang ketat.",occupational health and safety,s,positive,action,1
407,Bank Mandiri aims to be a 'sustainability champion' by leading ESG initiatives through digital transformation,sustainability leadership,e-s-g,positive,commitment,1
408,Bank Mandiri aims to be a 'sustainability champion' by leading ESG initiatives through digital transformation and other means.,esg leadership,none,positive,commitment,1
409,Bank Mandiri aims to be a 'sustainability champion' by leading ESG initiatives through digital transformation and other means.,sustainability leadership,s,positive,commitment,1
410,"Bank Mandiri berada di garis depan transformasi keberlanjutan, mengusung visi ""Becoming Indonesia’s Sustainability Champion for a Better Future"" dengan komitmen untuk menciptakan dampak nyata dan positif bagi masyarakat, lingkungan, dan ekonomi.",keberlanjutan,,positive,commitment,2
411,"Bank Mandiri berada di garis depan transformasi keberlanjutan, mengusung visi “Becoming Indonesia’s Sustainability Champion for a Better Future” dengan komitmen untuk menciptakan dampak nyata dan positif bagi masyarakat, lingkungan, dan ekonomi.",sustainability vision,e-s-g,positive,commitment,4
412,"Bank Mandiri berada di garis depan transformasi keberlanjutan, mengusung visi “Becoming Indonesia’s Sustainability Champion for a Better Future” dengan komitmen untuk menciptakan dampak nyata dan positif bagi masyarakat, lingkungan, dan ekonomi.",vision and commitment to sustainability,s,positive,commitment,1
413,"Bank Mandiri berkomitmen untuk mendorong pertumbuhan ekonomi yang inklusif dan berkelanjutan, serta memberikan kontribusi positif bagi lingkungan dan perekonomian.",pertumbuhan ekonomi,e-s,positive,commitment,1
414,Bank Mandiri berperan aktif dalam mewujudkan ekonomi rendah karbon dan memberikan kontribusi positif bagi lingkungan dan perekonomian.,low carbon economy,s,positive,commitment,1
415,"Bank Mandiri berperan penting dalam mendorong transisi ekonomi hijau, yang merupakan langkah krusial untuk menciptakan masa depan yang lebih berkelanjutan, mengurangi dampak lingkungan, dan menciptakan peluang ekonomi baru dalam sektor-sektor yang berfokus pada teknologi dan praktik berkelanjutan.",ekonomi hijau,e-s,positive,commitment,1
416,"Bank Mandiri berperan penting dalam mendorong transisi ekonomi hijau, yang merupakan langkah krusial untuk menciptakan masa depan yang lebih berkelanjutan, mengurangi dampak lingkungan, dan menciptakan peluang ekonomi baru dalam sektor-sektor yang berfokus pada teknologi dan praktik berkelanjutan.",transisi ekonomi hijau,,positive,commitment,3
417,"Bank Mandiri berperan penting dalam mendorong transisi ekonomi hijau, yang merupakan langkah krusial untuk menciptakan masa depan yang lebih berkelanjutan, mengurangi dampak lingkungan, dan menciptakan peluang ekonomi baru dalam sektor-sektor yang berfokus pada teknologi dan praktik berkelanjutan.",transition to a green economy,s,positive,commitment,1
418,"Bank Mandiri bertekad untuk menjadi pelopor dalam transformasi menuju masa depan yang lebih hijau, inklusif, dan berkelanjutan.",sustainability leadership,s,positive,commitment,1
419,"Bank Mandiri berupaya menjadi ""sustainability champion"", untuk menjadi yang terdepan dalam inisiatif ESG, melalui transformasi digital dan upaya-upaya lainnya.",sustainability leadership,s,positive,commitment,2
420,"Bank Mandiri berupaya menjadi 'sustainability champion', untuk menjadi yang terdepan dalam inisiatif ESG, melalui transformasi digital dan upaya-upaya lainnya.",sustainability leadership,e-s-g,positive,commitment,2
421,Bank Mandiri berusaha untuk memastikan bahwa setiap langkah yang mereka ambil selaras dengan upaya global dalam menangani perubahan iklim dan mendukung pertumbuhan ekonomi yang berkelanjutan.,climate action,e-s-g,positive,commitment,1
422,Bank Mandiri berusaha untuk memastikan bahwa setiap langkah yang mereka ambil selaras dengan upaya global dalam menangani perubahan iklim dan mendukung pertumbuhan ekonomi yang berkelanjutan.,climate change alignment,s,positive,commitment,1
423,"Bank Mandiri juga membentuk ESG unit yang berfungsi sebagai control tower dalam implementasi aspek berkelanjutan serta telah memiliki ESG financing desk yang mampu menawarkan berbagai solusi keuangan berkelanjutan yang inovatif dalam mengakselerasi ekonomi rendah karbon, seperti green loan, transition financing, serta Sustainability Linked-Loan (SLL).",esg unit,g,positive,outcome,1
424,"Bank Mandiri juga membentuk ESG unit yang berfungsi sebagai control tower dalam implementasi aspek berkelanjutan serta telah memiliki ESG financing desk yang mampu menawarkan berbagai solusi keuangan berkelanjutan yang inovatif dalam mengakselerasi ekonomi rendah karbon, seperti green loan, transition financing, serta Sustainability Linked-Loan (SLL).",esg unit and financing desk,s,positive,outcome,1
425,"Bank Mandiri juga membentuk ESG unit yang berfungsi sebagai control tower dalam implementasi aspek berkelanjutan serta telah memiliki ESG financing desk yang mampu menawarkan berbagai solusi keuangan berkelanjutan yang inovatif dalam mengakselerasi ekonomi rendah karbon, seperti green loan, transition financing, serta Sustainability Linked-Loan (SLL).",esg unit dan esg financing desk,,positive,outcome,1
426,"Bank Mandiri juga membentuk ESG unit yang berfungsi sebagai control tower dalam implementasi aspek berkelanjutan serta telah memiliki ESG financing desk yang mampu menawarkan berbagai solusi keuangan berkelanjutan yang inovatif dalam mengakselerasi ekonomi rendah karbon, seperti green loan, transition financing, serta Sustainability Linked-Loan (SLL).",establishment of esg unit and financing desk,s,positive,outcome,1
427,"Bank Mandiri juga membentuk ESG unit yang berfungsi sebagai control tower dalam implementasi aspek berkelanjutan serta telah memiliki ESG financing desk yang mampu menawarkan berbagai solusi keuangan berkelanjutan yang inovatif dalam mengakselerasi ekonomi rendah karbon, seperti green loan, transition financing, serta Sustainability Linked-Loan (SLL).",pembentukan unit esg,e-s-g,positive,outcome,1
428,"Bank Mandiri juga membentuk ESG unit yang berfungsi sebagai control tower dalam implementasi aspek berkelanjutan serta telah memiliki ESG financing desk yang mampu menawarkan berbagai solusi keuangan berkelanjutan yang inovatif, seperti green loan, transition financing, serta Sustainability Linked-Loan (SLL).",esg unit and financing desk,,positive,outcome,1
429,"Bank Mandiri juga terlibat dalam perdagangan karbon dan merupakan bank pertama di Indonesia yang telah meluncurkan digital carbon tracking, dengan target NZE secara operasional di tahun 2030.",carbon trading and digital carbon tracking,e,positive,outcome,1
430,"Bank Mandiri juga terus melakukan pengembangan produk berkelanjutan sebagai upaya mendukung nasabah khususnya pada high carbon intensive sectors, melalui solusi keuangan seperti Green Loan, Sustainability-Linked Loan, serta Corporate in Transition Financing.",development of sustainable products to support customers in high carbon intensive sectors,g,positive,action,1
431,"Bank Mandiri juga terus melakukan pengembangan produk berkelanjutan sebagai upaya mendukung nasabah khususnya pada high carbon intensive sectors, melalui solusi keuangan seperti Green Loan, Sustainability-Linked Loan, serta Corporate in Transition Financing.",pengembangan produk berkelanjutan,none,positive,action,1
432,Bank Mandiri melakukan penerbitan Penawaran Umum Berkelanjutan (PUB) Obligasi Berwawasan Lingkungan Berkelanjutan atau Green Bond dengan target Rp10 triliun.,green bonds,s,positive,outcome,1
433,Bank Mandiri melakukan penerbitan Penawaran Umum Berkelanjutan (PUB) Obligasi Berwawasan Lingkungan Berkelanjutan atau Green Bond dengan target Rp10 triliun. Dana yang diperoleh akan digunakan untuk membiayai atau membiayai kembali kegiatan-kegiatan yang termasuk dalam kategori Kegiatan Usaha Berwawasan Lingkungan (KUBL).,green bond issuance for sustainable projects,none,positive,outcome,1
434,Bank Mandiri membentuk ESG unit yang berfungsi sebagai control tower dalam implementasi aspek berkelanjutan serta telah memiliki ESG financing desk yang mampu menawarkan berbagai solusi keuangan berkelanjutan yang inovatif.,esg governance structure,e,positive,outcome,1
435,Bank Mandiri memiliki empat gedung ramah lingkungan dan satu gedung tersertifikasi Green Building.,green infrastructure,,positive,outcome,1
436,Bank Mandiri menargetkan NZE secara operasional di tahun 2030.,net zero emissions,,positive,commitment,1
437,"Bank Mandiri mendapatkan predikat sebagai salah satu top performers pada Corporate governance & Perception Index (CGPI) dengan skor 95,30.",recognition in corporate governance index,,positive,outcome,1
438,"Bank Mandiri menegaskan komitmennya untuk terus mengedepankan prinsip ESG, baik mulai dari kebijakan, strategi, hingga operasional sehari-hari.",esg principles,none,positive,commitment,1
439,Bank Mandiri menetapkan target ambisius untuk mencapai netral karbon dalam operasional pada tahun 2030.,carbon neutrality commitment,none,positive,commitment,2
440,Bank Mandiri menetapkan target ambisius untuk mencapai netral karbon dalam operasional pada tahun 2030.,net-zero operational emissions target by 2030,g,positive,commitment,1
441,Bank Mandiri menetapkan target untuk mencapai Net Zero Emission dalam operasional pada tahun 2030 dan dalam pembiayaan pada tahun 2060.,emisi karbon,s,neutral,commitment,1
442,"Bank Mandiri mengintegrasikan prinsip keberlanjutan ke dalam seluruh aspek bisnisnya, termasuk pembiayaan sektor-sektor strategis seperti energi terbarukan, infrastruktur hijau, dan kegiatan usaha yang mendukung dampak sosial.",integration of sustainability into business and green financing,e,positive,action,1
443,"Bank Mandiri mengintegrasikan prinsip keberlanjutan ke dalam seluruh aspek bisnisnya, termasuk pembiayaan sektor-sektor strategis seperti energi terbarukan, infrastruktur hijau, dan kegiatan usaha yang mendukung dampak sosial.",sustainable business integration,none,positive,action,1
444,Bank Mandiri menjadi Bank Nasional pertama yang mengembangkan SFF dan TFF untuk mendukung pembangunan berkelanjutan dan ekonomi rendah karbon.,sustainable finance framework,none,positive,outcome,1
445,Bank Mandiri menjadi Bank Nasional pertama yang mengembangkan SFF dan TFF untuk mendukung pembangunan berkelanjutan dan ekonomi rendah karbon.,sustainable finance leadership,e,positive,outcome,2
446,Bank Mandiri menjadi bank nasional pertama yang menerbitkan Sustainable Finance Framework dan Transition Finance Framework.,issuance of sustainable finance framework and transition finance framework,e,positive,outcome,1
447,Bank Mandiri menjadi bank nasional pertama yang menerbitkan Sustainable Finance Framework dan Transition Finance Framework.,sustainable finance innovation,s,positive,outcome,1
448,Bank Mandiri secara resmi telah meluncurkan Kerangka Kerja Keuangan Berkelanjutan (Sustainable Finance Framework) yang menjadi landasan penting bagi pemenuhan komitmen Bank Mandiri untuk mendorong transisi ekonomi Indonesia menuju masa depan yang lebih hijau dan berkelanjutan.,sustainable finance framework,none,positive,outcome,1
449,Bank Mandiri secara resmi telah meluncurkan Kerangka Kerja Keuangan Berkelanjutan (Sustainable Finance Framework) yang menjadi landasan penting bagi pemenuhan komitmen Bank Mandiri untuk mendorong transisi ekonomi Indonesia menuju masa depan yang lebih hijau dan berkelanjutan.,sustainable finance framework launch,g,positive,outcome,1
450,Bank Mandiri telah berada selangkah di depan dalam pencapaian ESG.,esg achievement,e-s-g,positive,outcome,1
451,Bank Mandiri telah meluncurkan Kerangka Kerja Keuangan Berkelanjutan (Sustainable Finance Framework) yang menjadi landasan penting bagi pemenuhan komitmen Bank Mandiri untuk mendorong transisi ekonomi Indonesia menuju masa depan yang lebih hijau dan berkelanjutan.,sustainable finance framework,s,positive,outcome,1
452,Bank Mandiri telah memastikan terintegrasinya prinsip LST dalam aktivitas operasional yang mencakup pengelolaan aspek yang ramah lingkungan serta hubungan sosial bank dengan pegawai dan nasabah.,lst integration in operations,s,positive,outcome,1
453,"Bank Mandiri telah menanam ~50H, setara 49Ribu pohon (Bank Mandiri has planted ~50H, equivalent to 49K trees)",reforestation,e,positive,outcome,1
454,Bank Mandiri telah menetapkan target untuk mencapai Net Zero Emission dalam operasional pada tahun 2030 dan dalam pembiayaan pada tahun 2060.,net zero emission target,s,positive,commitment,1
455,Bank Mandiri telah mengukur emisi karbon cakupan 1 dan 2 serta menjadikan emisi tahun 2019 sebagai baseline.,carbon emissions measurement,e,neutral,outcome,2
456,Bank Mandiri telah mengukur emisi karbon cakupan 1 dan 2 serta menjadikan emisi tahun 2019 sebagai baseline.,emisi karbon,s-g,neutral,outcome,1
457,"Bank Mandiri telah menyalurkan Sustainable Financing sesuai Kategori Kegiatan Usaha Berkelanjutan (KKUB) dalam POJK 51/2017 sebesar Rp264,08 triliun, meningkat 15,4% secara YoY.",penyaluran sustainable financing,none,positive,outcome,1
458,Bank Mandiri telah menyusun Mandiri Subsidiaries Management Principles Guideline (MSMPG) yang termasuk di dalamnya mengatur kerja sama terkait teknologi informasi dan manajemen data dengan Perusahaan Anak.,subsidiary management,none,neutral,outcome,2
459,Bank Mandiri telah menyusun Mandiri Subsidiaries Management Principles Guideline (MSMPG) yang termasuk di dalamnya mengatur kerja sama terkait teknologi informasi dan manajemen data dengan Perusahaan Anak.,subsidiary management guidelines,e,neutral,outcome,1
460,Bank Mandiri telah menyusun Mandiri Subsidiaries Management Principles Guideline (MSMPG) yang termasuk di dalamnya mengatur kerja sama terkait teknologi informasi dan manajemen data dengan Perusahaan Anak.,tata kelola,e,neutral,outcome,1
461,Bank Mandiri terlibat dalam perdagangan karbon dan merupakan bank pertama di Indonesia yang telah meluncurkan digital carbon tracking.,carbon trading & innovation,g,positive,outcome,1
462,Bank Mandiri tetap mendukung isu keberlanjutan dengan menetapkan kerangka kerja keberlanjutan 2024-2028 dan aspirasi 'Becoming Indonesia's Sustainability Champion for A Better Future'.,support for sustainability issues,none,positive,commitment,1
463,Bank Mandiri tidak memproduksi effluent wastewater as well it has been processed through a sewage treatment.,wastewater management,e,positive,outcome,1
464,"Bank Mandiri's commitment to ESG was established from the outset, as it was among the eight banks that formed Indonesia's sustainable finance initiative, 'The first movers on sustainable banking.'",sustainable finance initiative,e,positive,outcome,1
