,aspect,count
1264,kelestarian korporat,1
1265,conflict of interest avoidance,1
1266,resolution validity,1
1267,transparency of governance processes,1
1268,Opportunity Creation,1
1269,remote resolutions,1
1270,training and competency development,1
1271,yearbook donation,1
1272,educational support,1
1273,meeting attendance,1
1274,sustainability reporting commitment,1
1275,reporting standards,1
1276,notice communication,1
1277,OHS hazard identification,1
1278,none,1
1279,support programs,1
1280,economic inclusion,1
1281,Workforce composition,1
1282,loan_provision_restrictions,1
1283,sustainable combustible cigarette performance,1
1284,Climate risk insurance,1
1285,smoke-free product commercialization,1
1286,ecosystem value creation,1
1287,asset_security_c.csv,1
1288,economic value creation,1
1289,health and safety management,1
1290,UMKM,1
1291,Climate risk management,1
1292,financial_instrument,1
1293,peritel tradisional,1
1294,Climate-resilient agriculture,1
1295,Sustainable sourcing,1
1296,pendidikan dan digitalisasi,1
1297,Board performance evaluation,1
1298,akselerasi digitalisasi,1
1299,pelatihan kewirausahaan,1
1300,Bisnis 20,1
1301,MSME Collaboration,1
1302,Board meetings conducted,1
1303,Agricultural Support,1
1304,financial covenants compliance,1
1305,Sustainable Production,1
1306,sustainability embedded in operations,1
1307,smoke-free product availability,1
1308,Governance policies,1
1309,management_changes_notification,1
1310,Governance Support,1
1311,board committee meetings,1
1312,Sustainable Product Innovation,1
1313,Economic Growth,1
1314,sustainable_financing,1
1315,Economic Hub Development,1
1316,Job Creation,1
1317,asset sale,1
1318,financial_rating,1
1319,Technological Innovation,1
1320,workforce and production infrastructure,1
1321,komite struktur,1
1322,Shariah compliance,1
1323,interest_rate_risk,1
1324,Sustainable food production and climate resilience,1
1325,agricultural partnerships,1
1326,sustainable bond issuance,1
1327,bond ratings,1
1328,local economy development,1
1329,labor-intensive hand-rolled category,1
1330,loan_repayment,1
1331,overdraft_cross_clearing,1
1332,Employee compensation,1
1333,tax policy,1
1334,Shareholder composition,1
1335,affordability,1
1336,kesehatan keuangan,1
1337,decision-making independence,1
1338,capital commitments,1
1339,contingent liabilities,1
1340,consumer affordability,1
1341,management structure,1
1342,Legal compliance and governance procedures,1
1343,Audit process,1
1344,leadership change,1
1345,corporate guarantee,1
1346,collateral security,1
1347,financial facility acquisition,1
1348,Regulatory compliance and stakeholder coordination,1
1349,Shareholder communication and transparency,1
1350,Meeting scheduling compliance,1
1351,Flexible governance processes,1
1352,Governance thresholds and board accountability,1
1353,Governance Process,1
1354,board composition change,1
1355,financial leverage monitoring,1
1356,infrastructure financing,1
1357,financial covenants,1
1358,transition mechanisms,1
1359,financial distribution,1
1360,employee ownership program,1
1361,manajemen struktur modal,1
1362,dividend payout ratio,1
1363,leverage ratio,1
1364,dividend payments,1
1365,loan repayment,1
1366,loan to equity ratio compliance,1
1367,loan-to-equity ratio,1
1368,controversial products,1
1369,brand positioning,1
1370,employee wellbeing,1
1371,physical wellbeing,1
1372,work flexibility,1
1373,diversity & inclusion,1
1374,board meetings conducted,1
1375,board meeting frequency,1
1376,gender equality diagnostic,1
1377,sustainability leadership,1
1378,sustainable people practices,1
1379,personalized learning,1
1380,Transparan Laporan Keuangan,1
1381,employee numbers,1
1382,production capacity,1
1383,machinery sufficiency,1
1384,distribution partnerships,1
1385,fuel prices,1
1386,decision-making efficiency,1
1387,Governance Oversight,1
1388,exports,1
1389,board committee structure,1
1390,Economic Diversification,1
1391,Healthcare Support,1
1392,Healthcare Education,1
1393,Agricultural Partnerships,1
1394,Infrastructure Development,1
1395,remuneration criteria,1
1396,Satellite Partnerships,1
1397,Program Suppliers,1
1398,aquaculture,1
1399,Installation Services,1
1400,leadership transition,1
1401,education financing,1
1402,Retailer Partnerships,1
1403,Bank Partnerships,1
1404,Affordable housing,1
1405,target achievement,1
1406,Housing sales performance,1
1407,Infrastructure development,1
1408,employee termination costs,1
1409,duties fulfillment,1
1410,employee pension management,1
1411,Remuneration Governance,1
1412,environmental standards,1
1413,climate risk assessments,1
1414,board remuneration,1
1415,Community Empowerment,1
1416,long-term employee benefits,1
1417,cultural infrastructure,1
1418,Gender diversity,1
1419,social welfare data systems,1
1420,management governance,1
1421,Crop Cultivation,1
1422,Pest Management,1
1423,audit committees monitoring,1
1424,external auditor management,1
1425,audit functions,1
1426,financial statements,1
1427,Crop Yield,1
1428,Sustainable Farming Practices,1
1429,health assistance,1
1430,economic prosperity,1
1431,competition law compliance,1
1432,Collateral,1
1433,student health,1
1434,educator involvement,1
1435,documentation compliance,1
1436,livelihoods,1
1437,healthcare employment,1
1438,Collateral Usage,1
1439,youth economic empowerment,1
1440,remuneration amount,1
1441,sustainable investment,1
1442,Allowance for Impairment Losses,1
1443,health-focused product marketing,1
1444,Expenditure Realization,1
1445,Smoke-Free Production Innovation,1
1446,Export Market Expansion,1
1447,internal audit and internal control systems,1
1448,Executive compensation,1
1449,Legal Governance,1
1450,digital public relations,1
1451,workplace development,1
1452,sales team management,1
1453,financial_instrument_issuance,1
1454,"diversity, equity, and inclusion",1
1455,media content diversity,1
1456,Remuneration criteria,1
1457,sustainable agricultural partnerships,1
1458,cost management,1
1459,sustainability focus,1
1460,smoke-free product alternatives,1
1461,employee and community development,1
1462,economic development and skilled labor,1
1463,media content licensing,1
1464,prosedur remunerasi,1
1465,smoke-free product accessibility,1
1466,kontribusi komite,1
1467,evaluasi kinerja komite,1
1468,Government Policy Alignment,1
1469,"anti-bribery, corruption, data privacy training",1
1470,Equal Salary certification,1
1471,Production Facilities Operation,1
1472,Top Employer recognition,1
1473,Women empowerment,1
1474,equity level,1
1475,Owned manufacturing facilities,1
1476,meeting scheduling,1
1477,Third-party production operators,1
1478,Permanent employees,1
1479,Third-party employees,1
1480,salary risk,1
1481,land tenure,1
1482,pensiun through BPJSK JP,1
1483,International Cooperation,1
1484,asset value,1
1485,Digitalization and multi-category business ecosystem,1
1486,MSME product distribution support,1
1487,Financial education and store management training,1
1488,Governance and Sustainability,1
1489,SME capacity building,1
1490,environmental health and safety,1
1491,Economic Contribution,1
1492,Production Facilities Investment,1
1493,aktuarial valuation methodology,1
1494,mining assets,1
1495,Long-term economic value creation,1
1496,long-term stakeholder value,1
1497,emission targets,1
1498,product value alignment,1
1499,Environment,1
1500,beneficiation process,1
1501,aluminium content,1
1502,downstream processing,1
1503,leadership responsibilities,1
1504,resource recycling,1
1505,asset optimization,1
1506,climate risks,1
1507,operations in diverse markets,1
1508,sustainability reporting standards,1
1509,Data Collection,1
1510,stock listing,1
1511,climate risk reporting,1
1512,securities transparency,1
1513,investasi pada entitas asosiasi,1
1514,penyertaan saham,1
1515,aset tetap,1
1516,program pelatihan digital,1
1517,properti pertambangan,1
1518,environmental management and reclamation,1
1519,solvency,1
1520,receivables collectability,1
1521,capital investment commitments,1
1522,fixed asset investments,1
1523,pengembangan kompetensi karyawan,1
1524,water certification,1
1525,electric vehicle demand,1
1526,communication strategy planning,1
1527,tax ethics,1
1528,protection of endangered species,1
1529,electric vehicle demand growth,1
1530,production targets,1
1531,domestic sales,1
1532,business strategy governance,1
1533,strategic initiatives,1
1534,political risk,1
1535,conflicts of interest,1
1536,material transactions,1
1537,affiliate transactions,1
1538,Organisasi,1
1539,comfort minerals limitation,1
1540,bauxite exports,1
1541,investments in aluminum smeltery infrastructure,1
1542,financial profitability,1
1543,CSR in Economic Elements,1
1544,carbon policy initiatives,1
1545,industry infrastructure,1
1546,reputational risk,1
1547,efisiensi pertambangan,1
1548,smelter aluminium,1
1549,dividen tunai,1
1550,proses pengolahan SGA,1
1551,produksi SGA,1
1552,struktur perusahaan,1
1553,Surface Water Tax,1
1554,Export Contribution,1
1555,Clean Water Facilities,1
1556,smelter projects,1
1557,cigarette butt waste,1
1558,bauxite mining value addition,1
1559,currency exchange rate management,1
1560,pengendalian internal,1
1561,efektivitas audit,1
1562,nomasi dan remunerasi,1
1563,kualitas hidup karyawan,1
1564,financial information reliability,1
1565,social and environmental risks,1
1566,environmental risks,1
1567,corporate governance transparency,1
1568,audit responsibility,1
1569,commodity price risk mitigation,1
1570,mineral resources estimation,1
1571,operational risk mitigation,1
1572,commodity price fluctuations,1
1573,kualitas laporan keuangan,1
1574,exchange rate fluctuations,1
1575,political instability,1
1576,legal risk management,1
1577,audit evidence gathering,1
1578,Data privacy,1
1579,audit-based decision making,1
1580,transparency in financial reporting,1
1581,Compliance Reporting,1
1582,Violation Handling Focus,1
1583,Data-Driven Governance,1
1584,accounting policies evaluation,1
1585,board member attendance,1
1586,manajemen keuangan,1
1587,kompetensi audit,1
1588,aluminum processing investments,1
1589,appointments,1
1590,eksplorasi sumber daya,1
1591,optimalisasi produksi,1
1592,efisiensi operasional,1
1593,profitabilitas,1
1594,post-consumer waste,1
1595,waste education,1
1596,penyusunan anggaran,1
1597,peruntukan laba,1
1598,distribusi dividen,1
1599,dividend distribution governance,1
1600,natural resource management,1
1601,board authority,1
1602,dismissal procedures,1
1603,compliance with governance charter,1
1604,learning and development,1
1605,waste management compliance,1
1606,private sector involvement,1
1607,"emission reduction, waste management, water management",1
1608,carbon neutrality in operations,1
1609,Employee Compensation,1
1610,Transparency & Reporting,1
1611,management separation,1
1612,self-assessment,1
1613,board member selection criteria,1
1614,internal control and financial report oversight,1
1615,risk management and compliance,1
1616,site closure,1
1617,mining efficiency,1
1618,board expertise,1
1619,smelter construction oversight,1
1620,wages-policy compliance,1
1621,sustainable facilities development,1
1622,healthcare coverage,1
1623,return-to-work ratio,1
1624,non-discrimination policy,1
1625,monitoring of internal control systems,1
1626,complaint handling,1
1627,keberadaan prosedur whistleblowing,1
1628,pelanggaran,1
1629,diskriminasi dan tata bergerakmunity,1
1630,komunikasi internal,1
1631,penyelesaian keluhan,1
1632,employee wages and benefits,1
1633,infrastructure investment and support services,1
1634,GHG intensity,1
1635,waste intensity,1
1636,water quality (COD),1
1637,information and communication systems,1
1638,CO emissions,1
1639,NO₂ emissions,1
1640,TSP emissions,1
1641,workplace injuries,1
1642,occupational injuries,1
1643,contract labor,1
1644,local management diversity,1
1645,Pay Equity,1
1646,Grievance Handling,1
1647,wages-gender equity,1
1648,community social programs,1
1649,workforce and community capacity building,1
1650,GHG emissions reporting scope,1
1651,nilai wajar aset dan liabilitas,1
1652,reclamation funding,1
1653,land preparation and revegetation,1
1654,plant survival rate,1
1655,financial investment in biodiversity conservation,1
1656,industry_sectors,1
1657,media monitoring,1
1658,knowledge dissemination,1
1659,biodiesel usage,1
1660,sustainability communication,1
1661,solar power usage,1
1662,GHG emissions reporting,1
1663,Governance Selection,1
1664,environmental sustainability in digital platforms,1
1665,supplier sustainability,1
1666,compliance reporting,1
1667,public communication,1
1668,Supplier Selection,1
1669,local supplier prioritization,1
1670,supplier governance,1
1671,customer service delivery,1
1672,human resource development,1
1673,employee environmental education,1
1674,work ethic creativity,1
1675,employee activities,1
1676,digital innovation for environmental impact reduction,1
1677,local procurement,1
1678,control environment,1
1679,hazardous substances,1
1680,Child Labor,1
1681,anti-corruption training,1
1682,material,1
1683,Coal usage,1
1684,Facilities development,1
1685,environmental aspects,1
1686,Community infrastructure,1
1687,Community development,1
1688,sustainable finance implementation,1
1689,energy efficiency and renewable energy usage,1
1690,Equity in Products/Services,1
1691,Equal Employment,1
1692,strategic alignment for sustainable growth,1
1693,Minimum Wage,1
1694,local supplier procurement,1
1695,Work Environment Safety,1
1696,Employee Training,1
1697,Community Complaints,1
1698,Environmental Impact,1
1699,Product Withdrawals,1
1700,strategic supply chain partnership,1
1701,corporate governance integration,1
1702,workforce competency,1
1703,organizational resilience,1
1704,audit committee,1
1705,strategic investment policies,1
1706,energy infrastructure investment,1
1707,anti-corruption risk management,1
1708,senior management diversity,1
1709,greenhouse gases,1
1710,value chain activities,1
1711,post-mining land management,1
1712,mining permits,1
1713,mining impacts,1
1714,climate impacts,1
1715,compliance risk management,1
1716,meeting_frequency,1
1717,safety management system,1
1718,smelter grade alumina,1
1719,TRIFR,1
1720,total suspended solids,1
1721,corporate partnership,1
1722,ESG reporting framework,1
1723,external assurance,1
1724,wage ratios by gender,1
1725,governance leadership,1
1726,impact management oversight,1
1727,impact management delegation,1
1728,sustainability reporting governance,1
1729,critical concern communication,1
1730,competency,1
1731,governance body knowledge,1
1732,governance body performance evaluation,1
1733,remuneration determination process,1
1734,compensation ratio,1
1735,remediation,1
1736,visual representation,1
1737,report dissemination,1
1738,annual reporting transparency,1
1739,emissions tracking,1
1740,payment systems,1
1741,plastic waste recycling,1
1742,decent wages,1
1743,labor hours,1
1744,technology adoption,1
1745,local community engagement,1
1746,HCV assessments,1
1747,fair treatment and competition,1
1748,Rehabilitation programs,1
1749,Biodiversity monitoring,1
1750,direct communication,1
1751,Fire management collaboration,1
1752,Peatland management,1
1753,Responsible CPO and FFB sourcing,1
1754,Smallholder support programs,1
1755,Orang Rimba initiatives,1
1756,career path clarity,1
1757,Community empowerment in Sulawesi,1
1758,fair treatment,1
1759,community understanding,1
1760,Gearing ratio,1
1761,Net profit margin,1
1762,Revenue in billion rupiah,1
1763,sustainability policy compliance,1
1764,capacity-building,1
1765,ecosystem protection,1
1766,collaborative stakeholder engagement,1
1767,Revenue generation,1
1768,EBITDA margin,1
1769,EBITDA performance,1
1770,sales performance,1
1771,mineral processing investments,1
1772,production efficiency,1
1773,royalty payments,1
1774,government regulations,1
1775,export proceeds regulation,1
1776,mineral resource estimation,1
1777,mineral content risk,1
1778,Environmental reporting standards,1
1779,environmental considerations in reserve calculations,1
1780,industry regulations,1
1781,social considerations in reserve calculations,1
1782,governmental regulations in resource reporting,1
1783,mining reserve management,1
1784,governance of mining operations,1
1785,"target efisiensi energi, air, dan energi terbarukan",1
1786,Kepelolaan Berkelanjutan,1
1787,liquidity risk,1
1788,sustainability management,1
1789,Accounting Policies,1
1790,accounting standards evaluation,1
1791,accounting standards nomenclature,1
1792,business impact,1
1793,"keseimbangan ESG (ekonomi, lingkungan, sosial)",1
1794,kadangunan pengehargaan,1
1795,program CSR dan penegakan kebijakan lingkungan,1
1796,"target reduksi emisi, daur ulang limbah, dan pengendalian polusi",1
1797,internship programs,1
1798,Deferred tax related to single transactio,1
1799,Education and public engagement,1
1800,habitat conservation,1
1801,manajemen suku bunga,1
1802,wastewater discharge compliance,1
1803,wastewater discharge measurement,1
1804,water quality monitoring,1
1805,wastewater treatment optimization,1
1806,stakeholder relationships,1
1807,cost effectiveness,1
1808,occupational health and safety compliance,1
1809,use of non-renewable resources,1
1810,environmental and safety product responsibility,1
1811,ISO certifications,1
1812,quality control procedures,1
1813,paper reduction,1
1814,risiko mata uang foreign exchange,1
1815,profit distribution,1
1816,sustainable agriculture practices,1
1817,bertumbuhnya pendapatan,1
1818,capacity-building participation,1
1819,agricultural input procurement,1
1820,FFB evacuation logistics,1
1821,FFB transportation logistics,1
1822,kepercayaan institusi keuangan,1
1823,worker mobility support,1
1824,educational outcomes,1
1825,social integration,1
1826,financial covenant monitoring,1
1827,collaborative governance,1
1828,wastewater reuse,1
1829,fund management collaboration,1
1830,tree planting initiative,1
1831,fires,1
1832,biodiversity monitoring,1
1833,species identification,1
1834,endangered flora,1
1835,endangered fauna,1
1836,species count,1
1837,health counseling,1
1838,umbrella species conservation,1
1839,habitat sustainability,1
1840,health service delivery,1
1841,Environmental Monitoring,1
1842,retained earnings policy,1
1843,Community Collaboration,1
1844,community awareness,1
1845,concurrent positions,1
1846,fire prevention through MPA establishment,1
1847,MPA establishment scale,1
1848,fire risk reduction,1
1849,inventory guarantee,1
1850,trade receivables guarantee,1
1851,insider control policies,1
1852,corporate governance restrictions,1
1853,safety standards,1
1854,customer health and safety,1
1855,quality management,1
1856,competency programs,1
1857,affiliations,1
1858,strategic investment,1
1859,domestic procurement,1
1860,Insider Trading prevention,1
1861,two-way communication,1
1862,resource categories,1
1863,Mining Operations,1
1864,Exploration Expenditure,1
1865,Resource Management,1
1866,financial empowerment,1
1867,exploration,1
1868,permit revocation,1
1869,employee networking,1
1870,operational readiness,1
1871,vaccination programs,1
1872,well-being programs,1
1873,compliance with accounting standards,1
1874,consistent accounting policies,1
1875,adoption of updated accounting standards,1
1876,financial reporting methodology,1
1877,reporting currency selection,1
1878,governance of subsidiaries,1
1879,pengelolaan uang asing,1
1880,transaksi pihak berelasi,1
1881,risiko kurs,1
1882,pemaksaban keuangan,1
1883,fixed asset reclassification,1
1884,capitalization of asset renewals,1
1885,impairment loss accounting,1
1886,mineral exploration,1
1887,workforce sustainability,1
1888,resource depletion,1
1889,accumulated production,1
1890,mining license,1
1891,disclosure transparency,1
1892,material financial statement restatements,1
1893,Anticorruption and Anti Fraud,1
1894,reporting,1
1895,Supplier selection and capacity building,1
1896,Creditors' rights,1
1897,Whistleblowing system,1
1898,modern slavery,1
1899,equity method of accounting,1
1900,third-party audit independence,1
1901,accounting policies compliance,1
1902,financial reconciliation processes,1
1903,dividend verification processes,1
1904,disclosure adequacy assessments,1
1905,management responsibility for reporting,1
1906,equity recognition,1
1907,fraud and error detection,1
1908,fraud risk,1
1909,professional skepticism,1
1910,audit risk assessment,1
1911,operations,1
1912,accounting policy evaluation,1
1913,material uncertainty and going concern,1
1914,fair financial reporting,1
1915,mining operations,1
1916,audit committee structure,1
1917,internal control framework,1
1918,employee feedback,1
1919,straight-line amortization,1
1920,environmental reclamation,1
1921,vaccination,1
1922,mineral resource sales,1
1923,tax dispute,1
1924,pension expense,1
1925,annual_report,1
1926,pension calculation methodology,1
1927,operational delays,1
1928,regional diversity,1
1929,shareholder ownership structure,1
1930,dividends,1
1931,external communication,1
1932,environmental_management,1
1933,mining_environmental_contributions,1
1934,taxes_and_licenses,1
1935,Resource rights and compliance,1
1936,listing,1
1937,environmental regulation compliance,1
1938,governance structure change,1
1939,Domestic Processing,1
1940,Export Duty Compliance,1
1941,Resource Efficiency,1
1942,resource export regulations,1
1943,land reclamation,1
1944,Mining Permit Procedures,1
1945,Material Export Compliance,1
1946,compliance impact,1
1947,regulation impact,1
1948,land clearing,1
1949,tax refund,1
1950,Tax transparency,1
1951,leases,1
1952,environmental provisions,1
1953,well-being,1
1954,regulatory framework,1
1955,lease accounting policies,1
1956,lease expense recognition,1
1957,share issuance costs accounting,1
1958,mineral export standards,1
1959,downstream export policies,1
1960,business model assessment,1
1961,accounting judgments,1
1962,discount rate determination for pension liabilities,1
1963,fixed asset depreciation policies,1
1964,deferred tax asset recognition,1
1965,accounting policy,1
1966,environmental guarantees,1
1967,environmental rehabilitation,1
1968,environmental and reclamation liabilities,1
1969,Receivables Collectibility,1
1970,Inventory Risk Management,1
1971,Inventory Valuation Accuracy,1
1972,Collateralized Inventory Disclosure,1
1973,asset recoverability,1
1974,investment in subsidiaries,1
1975,mining operations status,1
1976,mining development,1
1977,processing and refining,1
1978,environmental expenditures,1
1979,revenue recognition process,1
1980,risk management governance,1
1981,Governance Reporting,1
1982,sustainable framework development,1
1983,recycled plastic in packaging,1
1984,circular design,1
1985,circular economy planning,1
1986,sustainably sourced packaging,1
1987,governance and business ethics,1
1988,second-hand item reuse,1
1989,recycling infrastructure investment,1
1990,board representation,1
1991,supplier union representation,1
1992,health and safety protocols,1
1993,female representation in supply chain,1
1994,Ethics & Compliance,1
1995,Climate Change Mitigation,1
1996,Climate Risk Management,1
1997,environmentally friendly technologies,1
1998,Pollution Prevention,1
1999,sustainability performance measurement and reporting,1
2000,Human Rights Due Diligence,1
2001,Environmental Alignment,1
2002,Human Rights Compliance,1
2003,sustainability in business strategy,1
2004,sustainability policies and commitments,1
2005,green bond issuance for climate and circularity projects,1
2006,fossil fuel phase-out,1
2007,sustainable sourcing and decarbonization,1
2008,supplier energy transition funding,1
2009,carbon removal agreements,1
2010,plastic packaging reduction,1
2011,recycled material ambition,1
2012,chemicals assurance,1
2013,"resilience, climate strategy",1
2014,Risk reporting,1
2015,risk reporting,1
2016,collaborative implementation,1
2017,data governance,1
2018,climate scenario,1
2019,energy and water costs,1
2020,water strategy,1
2021,renewable energy procurement,1
2022,"recycled materials, agriculture",1
2023,"climate risks, financial planning",1
2024,"climate impact, business model",1
2025,"green finance, renewable energy",1
2026,"raw materials, climate resilience",1
2027,Circular business models,1
2028,Electricity intensity reduction,1
2029,Coal use reduction,1
2030,Renewable energy procurement,1
2031,Sustainable finance initiatives,1
2032,compliance standards,1
2033,long-term stakeholder value creation,1
2034,Renewable energy investments,1
2035,Climate strategy development,1
2036,Chemical compliance,1
2037,stakeholder management principles,1
2038,Sustainable packaging materials,1
2039,Sustainable material investment,1
2040,ESG criteria integration in investments,1
2041,counterparty risk management,1
2042,tax payment,1
2043,environmental levies,1
2044,investment access,1
2045,program lingkungan,1
2046,education and entrepreneurial financing,1
2047,urban economic development,1
2048,infrastructure connectivity,1
2049,large-scale project development,1
2050,Digitalization,1
2051,tata kelola,1
2052,Performance Monitoring,1
2053,pengelolaan limbah,1
2054,internal control enhancements,1
2055,lokasin kerjasama,1
2056,komitmen,1
2057,konsumsi energi,1
2058,keberhasilan kolaborasi,1
2059,ekosistem,1
2060,kolaborasi,1
2061,konflik kepentingan,1
2062,tanaman strategis,1
2063,anti-korupsi,1
2064,organizational history,1
2065,business focus,1
2066,Economic Development,1
2067,environmental resource use,1
2068,business model innovation,1
2069,community cultural engagement,1
2070,cultural accessibility,1
2071,financial education and literacy,1
2072,financial solutions innovation,1
2073,financial service reach,1
2074,sustainable infrastructure development,1
2075,pension schemes,1
2076,goodwill,1
2077,pensions,1
2078,share buyback programs,1
2079,environmental and social responsibility recognition,1
2080,social responsibility recognition,1
2081,disaster relief and health initiatives,1
2082,workforce welfare and safety,1
2083,pension expenses,1
2084,environmental management in mining,1
2085,sustainable land and water management,1
2086,recycled polyester,1
2087,SDG Alignment,1
2088,digital services,1
2089,Digital Services Efficiency,1
2090,Sustainable Investment,1
2091,Eco-Friendly Technology,1
2092,forward-looking risk disclosure,1
2093,Carbon Emissions Reduction,1
2094,digital ecosystem,1
2095,technological innovation,1
2096,digital leadership,1
2097,Environmental Awareness,1
2098,digital capabilities,1
2099,Environmental Stewardship,1
2100,kelautan jangka panjang,1
2101,marketing,1
2102,public policy,1
2103,hak asasi manusia,1
2104,virgin resource use,1
2105,innovative services,1
2106,urban green spaces,1
2107,transport emissions,1
2108,environmental funding,1
2109,accessible activewear,1
2110,geographic expansion,1
2111,supply chain logistics,1
2112,creative expression,1
2113,product diversity,1
2114,sustainable development partnerships,1
2115,circular economy through second-hand resale,1
2116,waste recycling through reuse and recycling programs,1
2117,resource efficient production,1
2118,material recycling from production scraps,1
2119,garment collecting,1
2120,digital receipts,1
2121,logistics emissions,1
2122,garment rental,1
2123,digital returns,1
2124,energy emissions,1
2125,fair purchasing practices,1
2126,social responsibility in sourcing,1
2127,water consumption reduction,1
2128,sustainable development integration,1
2129,chemical consumption reduction,1
2130,supplier technology innovation for sustainability,1
2131,reverse logistics for recycling,1
2132,recycling education,1
2133,single-use plastics,1
2134,material selection,1
2135,industry-wide sustainability change,1
2136,inclusive financial products,1
2137,consumer expectation management,1
2138,climate management,1
2139,renewable energy investment,1
2140,renewable energy financing,1
2141,energy efficiency financing,1
2142,sustainable water management,1
2143,socioeconomic inclusion,1
2144,customer feedback for media quality improvement,1
2145,water and oceans,1
2146,biodiversity and land,1
2147,quality and equitable services,1
2148,sustainable product accessibility,1
2149,employee environmental training,1
2150,sustainable business investment,1
2151,paper waste reduction,1
2152,gender representation,1
2153,gender inclusivity,1
2154,product durability,1
2155,product circulation,1
2156,product resale,1
2157,upcycling,1
2158,product reuse,1
2159,circular offerings,1
2160,product life extension,1
2161,design process,1
2162,supply chain environmental footprint,1
2163,innovation,1
2164,access to water,1
2165,investment strategy,1
2166,sustainability prioritization,1
2167,Sustainable finance,1
2168,ESG reporting frameworks,1
2169,Sustainability disclosure standards,1
2170,green finance,1
2171,share buybacks,1
2172,climate financing,1
2173,management accountability,1
2174,share classification,1
2175,Sustainability performance measurement,1
2176,environmental investments,1
2177,remuneration transparency,1
2178,Impact analysis,1
2179,CEO Governance,1
2180,Executive Independence,1
2181,Board Evaluation,1
2182,Board Transparency,1
2183,Sustainability risk management,1
2184,Board Independence,1
2185,Code Compliance,1
2186,Gender Balance,1
2187,Board Gender Diversity,1
2188,Gender Balance Policy,1
2189,Privacy,1
2190,child labour,1
2191,forced labour,1
2192,chemicals,1
2193,sustainable finance risk management,1
2194,employee empowerment,1
2195,store portfolio optimization,1
2196,international standards compliance,1
2197,climate policy,1
2198,carbon removal partnerships,1
2199,renewable electricity,1
2200,environmental standards and policies,1
2201,environmental due diligence,1
2202,company reputation,1
2203,sustainable financial literacy,1
2204,sustainable logistics partners,1
2205,GHG emissions reduction initiatives,1
2206,low-carbon delivery options,1
2207,streaming technology efficiency,1
2208,responsible content production,1
2209,plastic pollution,1
2210,corporate governance oversight,1
2211,remedy,1
2212,perspective diversity,1
2213,sustainable resource use,1
2214,youth empowerment,1
2215,sports inclusion,1
2216,Sustainability Goals,1
2217,Circular Economy Investments,1
2218,Second-hand Marketplaces,1
2219,risk management supervision,1
2220,Geopolitical Risk Exposure,1
2221,Geopolitical Engagement,1
2222,Geopolitical Risk Management,1
2223,community engagement and education,1
2224,sustainability integration into operations,1
2225,Management Transparency,1
2226,governance committee competency development,1
2227,Oversight Compliance,1
2228,WMD Proliferation and Terrorism Financing Prevention,1
2229,accountability governance,1
2230,AML/CFT/WMD Programs and SIGAP Development,1
2231,performance metrics in compliance,1
2232,non-proliferation governance,1
2233,confidentiality management,1
2234,training development,1
2235,membership criteria,1
2236,information systems governance,1
2237,amenagement of governance frameworks,1
2238,weapons of mass destruction non-proliferation,1
2239,committee qualifications,1
2240,counter-terrorism financing,1
2241,financial crime prevention,1
2242,WBS Reporting Activity,1
2243,Whistleblower Officer Garantee,1
2244,education and training,1
2245,committee attendance,1
2246,risk management policy implementation,1
2247,corporate reporting,1
2248,Protection Against Retaliation,1
2249,risk governance planning,1
2250,governance structure evaluation,1
2251,governance principles implementation,1
2252,governance policy approval,1
2253,governance charter maintenance,1
2254,Governance Procedures,1
2255,Risk Policy Alignment,1
2256,Regulation Implementation (AML/CFT/WMD),1
2257,Weapons of Mass Destruction Financing Prevention,1
2258,policy disclosure,1
2259,remuneration feasibility,1
2260,stakeholder input inclusion,1
2261,multilingual disclosure of agm summaries,1
2262,annual remuneration evaluation,1
2263,disclosure of agm records,1
2264,performance evaluations,1
2265,board member participation,1
2266,annual general meeting management,1
2267,shareholder voting independence,1
2268,Money Laundering Prevention,1
2269,Prevention of Terrorism Financing,1
2270,Weapons of Mass Destruction Funding Prevention,1
2271,Sectoral Risk Assessment for AML/CFT/WMD,1
2272,Financial Crime Proceeds Safeguarding,1
2273,executive training,1
2274,Fraud Mitigation,1
2275,nomination transparency,1
2276,Terrorism Financing Prevention Risk Assessment,1
2277,remuneration-performance alignment,1
2278,Governance Committee,1
2279,Governance Charter Procedures,1
2280,Risk Management Oversight,1
2281,Policy Implementation,1
2282,AML/CFT Training,1
2283,Customer Due Diligence,1
2284,governance committee independence,1
2285,Identity Confidentiality,1
2286,performance assessment,1
2287,governance committee meeting effectiveness,1
2288,Corporate Operations Monitoring,1
2289,Corrective Action Planning,1
2290,Audit Reporting,1
2291,Process Improvement Tracking,1
2292,Ethical Reporting,1
2293,Gift and Bribery Policy,1
2294,Compliance & Accountability,1
2295,Audit Self-Assessment,1
2296,Special Audits,1
2297,Business Ethics,1
2298,governance documentation,1
2299,Risk Governance Adequacy,1
2300,Risk Communication Mechanisms,1
2301,Internal Control Improvements,1
2302,Key Risk Indicators,1
2303,environmental controls,1
2304,asset security,1
2305,Compliance Alignment,1
2306,segregation of duties,1
2307,transaction execution,1
2308,Risk Management Integration,1
2309,record-keeping,1
2310,access control,1
2311,documentation practices,1
2312,Stakeholder Trust,1
2313,System Effectiveness,1
2314,internal control system effectiveness,1
2315,Accountability Mechanism,1
2316,Audit Oversight,1
2317,sustainability disclosure,1
